depth;name;parent_code_kemendagri;code_kemendagri
4;LAWE RAKAT;11.02.02;11.02.02.2019
4;SUKA JAYA;11.02.02;11.02.02.2020
4;ENMIYA BATU DUA RATUS;11.02.02;11.02.02.2021
4;SEBUNGKE;11.02.02;11.02.02.2022
4;BUKIT SEPAKAT;11.02.02;11.02.02.2023
4;LAWE LONING SEPAKAT;11.02.02;11.02.02.2024
4;LAWE LONING I;11.02.02;11.02.02.2025
4;GAYA JAYA;11.02.02;11.02.02.2026
4;GELAH MUSARA;11.02.02;11.02.02.2027
4;MULIE DAME;11.02.02;11.02.02.2028
4;LAWE LONING HAKHAPEN;11.02.02;11.02.02.2029
4;KARYA INDAH;11.02.02;11.02.02.2030
4;KAYU MBELIN;11.02.02;11.02.02.2031
4;LAWE SIGALA BARAT JAYA;11.02.02;11.02.02.2032
4;LAWE PEKHIDINEN;11.02.02;11.02.02.2033
4;KERTIMBANG;11.02.02;11.02.02.2034
4;NDAUH NITENGGO;11.02.02;11.02.02.2035
3;BAMBEL;11.02;11.02.03
4;BAMBEL GABUNGAN;11.02.03;11.02.03.2001
4;KISAM;11.02.03;11.02.03.2002
4;LAWE HIJO;11.02.03;11.02.03.2005
4;PINDING;11.02.03;11.02.03.2006
4;TERUTUNG MEGARA ASLI;11.02.03;11.02.03.2009
4;BIAK MULI;11.02.03;11.02.03.2011
4;KUTE LANG-LANG;11.02.03;11.02.03.2012
4;PEDESI;11.02.03;11.02.03.2013
4;TERUTUNG PAYUNG HULU;11.02.03;11.02.03.2014
4;TERUTUNG PAYUNG HILIR;11.02.03;11.02.03.2015
4;TUALANG SEMBILAR;11.02.03;11.02.03.2016
4;KUNING I;11.02.03;11.02.03.2017
4;KUNING II;11.02.03;11.02.03.2018
4;CINTA DAMAI;11.02.03;11.02.03.2019
4;LIKAT;11.02.03;11.02.03.2020
4;RIKIT;11.02.03;11.02.03.2021
4;BAMBEL;11.02.03;11.02.03.2023
4;LAWE KIHING;11.02.03;11.02.03.2025
4;TERUTUNG SEPERAI;11.02.03;11.02.03.2026
4;KUTE SERI;11.02.03;11.02.03.2027
4;KUTA ANTARA;11.02.03;11.02.03.2028
4;PULO PERENGGE;11.02.03;11.02.03.2029
4;PULO KENDONDONG;11.02.03;11.02.03.2031
4;PANCAKH IMAN;11.02.03;11.02.03.2033
4;BIAK MULI BARU;11.02.03;11.02.03.2034
4;BIAK MULI PANTAI RAJA;11.02.03;11.02.03.2035
4;BIAK MULI SEJAHTERA;11.02.03;11.02.03.2036
4;LEMBAH HAJI;11.02.03;11.02.03.2037
4;TERUTUNG PAYUNGGABUNGAN;11.02.03;11.02.03.2038
4;LAWE HIJO METUAH;11.02.03;11.02.03.2039
4;AMPERA;11.02.03;11.02.03.2040
4;TEMBILAKH MBAKHU;11.02.03;11.02.03.2041
4;KUTE LANG-LANG BAKHU;11.02.03;11.02.03.2042
3;BABUSSALAM;11.02;11.02.04
4;KOTA KUTACANE;11.02.04;11.02.04.2001
4;PERAPAT HILIR;11.02.04;11.02.04.2002
4;PERAPAT HULU;11.02.04;11.02.04.2003
4;MUARA LAWE BULAN;11.02.04;11.02.04.2004
4;MBARUNG;11.02.04;11.02.04.2005
4;BATU MBULAN ASLI;11.02.04;11.02.04.2006
4;BATU MBULAN I;11.02.04;11.02.04.2007
4;BATU MBULAN II;11.02.04;11.02.04.2008
4;KAMPUNG RAJA;11.02.04;11.02.04.2009
4;PULONAS;11.02.04;11.02.04.2010
4;KAMPUNG MELAYU GABUNGAN;11.02.04;11.02.04.2011
4;TERUTUNG PEDI;11.02.04;11.02.04.2012
4;KUTE RIH;11.02.04;11.02.04.2013
4;GUMPANG JAYA;11.02.04;11.02.04.2014
4;PULO LATONG;11.02.04;11.02.04.2015
4;KUTACANE LAMA;11.02.04;11.02.04.2016
4;BATU MBULAN MBARU;11.02.04;11.02.04.2017
4;PULO PEDING;11.02.04;11.02.04.2018
4;MENDABE;11.02.04;11.02.04.2019
4;UJUNG BARAT;11.02.04;11.02.04.2020
4;PEKHAPAT TITI PANJANG;11.02.04;11.02.04.2021
4;PEKHAPAT SEPAKAT;11.02.04;11.02.04.2022
4;ALAS MARANTCAR;11.02.04;11.02.04.2023
